case,dice_Liver,iou_Liver,precision_Liver,recall_Liver,vol_diff_Liver,dice_Tumor,iou_Tumor,precision_Tumor,recall_Tumor,vol_diff_Tumor
case_118.h5,0.5218492150306702,0.35304194688796997,0.5443995594978333,0.5010927319526672,0.07954971594226286,2.3859571002954327e-12,2.3859571002954327e-12,1.0,2.3859571002954327e-12,0.999999999997614
case_119.h5,0.6185875535011292,0.44779354333877563,0.788116455078125,0.5090810060501099,0.354053570792853,1.0,1.0,1.0,1.0,0.0
case_120.h5,0.2537578046321869,0.14531651139259338,0.585877001285553,0.16195151209831238,0.7235742221241127,1.911680397315152e-10,1.911680397315152e-10,1.0,1.911680397315152e-10,0.9999999998088319
case_121.h5,0.6052930355072021,0.43399301171302795,0.7587692737579346,0.503458559513092,0.3364800650720457,4.710315471001536e-10,4.710315471001536e-10,1.0,4.710315471001536e-10,0.9999999995289685
case_122.h5,0.5293763875961304,0.35996726155281067,0.7989692091941833,0.3958173394203186,0.5045899980959001,1.2530857428083575e-11,1.2530857428083575e-11,1.0,1.2530857428083575e-11,0.9999999999874692
case_123.h5,0.5899233222007751,0.4183625876903534,0.7429487109184265,0.48916900157928467,0.34158445032247126,4.38114171677495e-12,4.38114171677495e-12,1.0,4.38114171677495e-12,0.9999999999956188
case_124.h5,0.4802008867263794,0.31596338748931885,0.7137385606765747,0.36181408166885376,0.49307198449011475,1.3871164633583177e-11,1.3871164633583177e-11,1.0,1.3871164633583177e-11,0.999999999986129
case_125.h5,0.5859532356262207,0.41438037157058716,0.8286998271942139,0.4531998336315155,0.4531194238905835,1.3262599907193362e-09,1.3262599907193362e-09,1.0,1.3262599907193362e-09,0.99999999867374
case_126.h5,0.3590182363986969,0.21878258883953094,0.6449205279350281,0.24874576926231384,0.6143001192639642,1.964636509033113e-10,1.964636509033113e-10,1.0,1.964636509033113e-10,0.9999999998035363
case_127.h5,0.7153221368789673,0.5568104982376099,0.8346498012542725,0.6258465051651001,0.2501687046597606,3.355704603080767e-09,3.355704603080767e-09,1.0,3.355704603080767e-09,0.9999999966442953
case_128.h5,0.6480242609977722,0.47931647300720215,0.6293060779571533,0.6678900718688965,0.06131201268169029,3.0622900049070978e-12,3.0622900049070978e-12,1.0,3.0622900049070978e-12,0.9999999999969377
case_129.h5,0.6687504053115845,0.5023478269577026,0.7637815475463867,0.5947504043579102,0.22130820035545307,5.236191254892608e-13,5.236191254892608e-13,1.0,5.236191254892608e-13,0.9999999999994764
case_130.h5,0.6775274276733398,0.5123186707496643,0.9419587850570679,0.5290186405181885,0.4383845035099919,7.227041773187615e-13,7.227041773187615e-13,1.0,7.227041773187615e-13,0.9999999999992772
