model,case,dice_cls1,iou_cls1,precision_cls1,recall_cls1,vol_diff_cls1,dice_cls2,iou_cls2,precision_cls2,recall_cls2,vol_diff_cls2
joint,case_106,0.060600027441978455,0.031246790662407875,0.929870069026947,0.03132060170173645,0.9663172280169503,2.9411765467557416e-08,2.9411765467557416e-08,2.9411765467557416e-08,1.0,34000000.0
baseline,case_107,0.3264945149421692,0.1950961798429489,0.7640272974967957,0.20760570466518402,0.7282744996389899,1.6798253066330204e-10,1.6798253066330204e-10,1.0,1.6798253066330204e-10,0.9999999998320174
joint,case_107,0.1065722331404686,0.05628534033894539,0.9600847363471985,0.05641736090183258,0.9412371028969432,1.6798253066330204e-10,1.6798253066330204e-10,1.0,1.6798253066330204e-10,0.9999999998320174
baseline,case_108,0.14883513748645782,0.08040079474449158,0.30550357699394226,0.09838255494832993,0.6779659522435902,6.872696313962867e-13,6.872696313962867e-13,1.0,6.872696313962867e-13,0.9999999999993128
joint,case_108,0.014895184896886349,0.0075034755282104015,0.23366664350032806,0.007692782673984766,0.9670779594857075,6.872474594618594e-13,6.872474594618594e-13,2.1276596484653965e-08,6.872696313962867e-13,0.9999676983264297
baseline,case_109,0.5552879571914673,0.38435888290405273,0.8560607433319092,0.41091495752334595,0.5199932441395733,1.3732113536557566e-11,1.3732113536557566e-11,1.0,1.3732113536557566e-11,0.999999999986268
joint,case_109,0.17383374273777008,0.09519053250551224,0.9053553938865662,0.09614729881286621,0.893801594357096,1.3715539988468084e-11,1.3715539988468084e-11,1.1363636254202447e-08,1.3732113536557566e-11,0.9987915739611822
baseline,case_110,0.56687992811203,0.3955565094947815,0.945975661277771,0.4046986997127533,0.5721891006094976,8.038197711612849e-12,8.038197711612849e-12,1.0,8.038197711612849e-12,0.9999999999919619
joint,case_110,0.17230157554149628,0.0942724347114563,0.8934738039970398,0.09534408152103424,0.8932883299764084,8.038197711612849e-12,8.038197711612849e-12,1.0,8.038197711612849e-12,0.9999999999919619
baseline,case_111,0.5173235535621643,0.34891197085380554,0.6591987609863281,0.4257023334503174,0.3542124453725695,1.3698629730551914e-10,1.3698629730551914e-10,1.0,1.3698629730551914e-10,0.9999999998630137
joint,case_111,0.18253874778747559,0.10043612122535706,0.6672960519790649,0.10573068261146545,0.8415535529057063,1.3698629730551914e-10,1.3698629730551914e-10,1.0,1.3698629730551914e-10,0.9999999998630137
baseline,case_112,0.43105751276016235,0.2747440040111542,0.9669601917266846,0.2773476243019104,0.7131757484884331,8.467400669509573e-10,8.467400669509573e-10,1.0,8.467400669509573e-10,0.9999999991532599
joint,case_112,0.05888770893216133,0.030337095260620117,0.871664822101593,0.03047320432960987,0.9650402269637816,8.467400669509573e-10,8.467400669509573e-10,1.0,8.467400669509573e-10,0.9999999991532599
baseline,case_113,0.5140932202339172,0.3459794521331787,0.8995509147644043,0.35988321900367737,0.5999301292181594,1.1866618798705986e-11,1.1866618798705986e-11,1.0,1.1866618798705986e-11,0.9999999999881335
joint,case_113,0.14072571694850922,0.07568851858377457,0.9074656963348389,0.0762772262096405,0.9159447801715134,1.1863240424736521e-11,1.1863240424736521e-11,4.166666300875477e-08,1.1866618798705986e-11,0.9997152011273323
baseline,case_114,0.49209004640579224,0.32633915543556213,0.867352306842804,0.34348177909851074,0.6039881823615787,1.0,1.0,1.0,1.0,0.0
joint,case_114,0.1228722557425499,0.06545758992433548,0.693649411201477,0.06740625947713852,0.9028237337565905,1.0,1.0,1.0,1.0,0.0
baseline,case_115,0.28780174255371094,0.16808903217315674,0.8292149305343628,0.17411689460277557,0.7900219911175012,1.0,1.0,1.0,1.0,0.0
joint,case_115,0.0333629809319973,0.016964484006166458,0.8590326309204102,0.017011843621730804,0.9801965119993364,3.663003678155974e-09,3.663003678155974e-09,3.663003678155974e-09,1.0,273000000.0
baseline,case_116,0.5717947483062744,0.4003589451313019,0.7188317775726318,0.47469574213027954,0.3396288963932551,1.6363077342748666e-12,1.6363077342748666e-12,1.0,1.6363077342748666e-12,0.9999999999983636
joint,case_116,0.3781813383102417,0.23318350315093994,0.6551781892776489,0.26580435037612915,0.5943022122323492,1.6357857993490321e-12,1.6357857993490321e-12,5.1282049717826794e-09,1.6363077342748666e-12,0.9996809199960079
baseline,case_117,0.20363815128803253,0.1133614331483841,0.9584402441978455,0.11392141878604889,0.8811387353628714,9.670319016039097e-13,9.670319016039097e-13,1.0,9.670319016039097e-13,0.999999999999033
joint,case_117,0.026260292157530785,0.013304839842021465,0.6101654767990112,0.013418907299637794,0.9780077568039189,9.670319016039097e-13,9.670319016039097e-13,1.0,9.670319016039097e-13,0.999999999999033
baseline,case_118,0.5145516991615295,0.3463948965072632,0.5794704556465149,0.4627133905887604,0.20148925724162373,2.3859571002954327e-12,2.3859571002954327e-12,1.0,2.3859571002954327e-12,0.999999999997614
joint,case_118,0.3706653416156769,0.22749491035938263,0.6232956051826477,0.2637598514556885,0.5768302433775622,2.3853824731440154e-12,2.3853824731440154e-12,9.900990249889219e-09,2.3859571002954327e-12,0.99975901831938
baseline,case_119,0.5181607007980347,0.3496740162372589,0.808054506778717,0.3813495337963104,0.5280645839227759,1.0,1.0,1.0,1.0,0.0
joint,case_119,0.20456422865390778,0.11393570154905319,0.5268968939781189,0.12692005932331085,0.7591178648964706,1.9607842016711174e-09,1.9607842016711174e-09,1.9607842016711174e-09,1.0,510000000.0
baseline,case_120,0.3069157302379608,0.1812761127948761,0.7344226837158203,0.1939927041530609,0.7358568803300842,1.911680397315152e-10,1.911680397315152e-10,1.0,1.911680397315152e-10,0.9999999998088319
joint,case_120,0.013426060788333416,0.006758399773389101,0.5583136081695557,0.006794728804379702,0.9878299066491862,1.911680397315152e-10,1.911680397315152e-10,1.0,1.911680397315152e-10,0.9999999998088319
baseline,case_121,0.5104772448539734,0.3427119553089142,0.7584946751594543,0.3846891224384308,0.49282552510371264,4.710315471001536e-10,4.710315471001536e-10,1.0,4.710315471001536e-10,0.9999999995289685
joint,case_121,0.28999394178390503,0.16958649456501007,0.693975567817688,0.18329375982284546,0.7358786717915926,4.710315471001536e-10,4.710315471001536e-10,1.0,4.710315471001536e-10,0.9999999995289685
baseline,case_122,0.4602310359477997,0.2988961637020111,0.8748019337654114,0.31225335597991943,0.6430582263419123,1.2530857428083575e-11,1.2530857428083575e-11,1.0,1.2530857428083575e-11,0.9999999999874692
joint,case_122,0.009307116270065308,0.004675314761698246,0.17026138305664062,0.004784322343766689,0.9719001319147249,1.2529287503337816e-11,1.2529287503337816e-11,9.999998695775503e-08,1.2530857428083575e-11,0.9998746914151113
baseline,case_123,0.5159426927566528,0.34765687584877014,0.7143099308013916,0.40380433201789856,0.43469307504822013,4.38114171677495e-12,4.38114171677495e-12,1.0,4.38114171677495e-12,0.9999999999956188
joint,case_123,0.11814869195222855,0.06278322637081146,0.49008452892303467,0.06717108935117722,0.8629397928103576,4.38114171677495e-12,4.38114171677495e-12,1.0,4.38114171677495e-12,0.9999999999956188
baseline,case_124,0.4611544609069824,0.2996756136417389,0.7736297845840454,0.3284791111946106,0.5754052990920631,1.3871164633583177e-11,1.3871164633583177e-11,1.0,1.3871164633583177e-11,0.999999999986129
joint,case_124,0.003287170547991991,0.0016462909989058971,0.7518435120582581,0.0016471861163154244,0.9978091371407113,1.3871164633583177e-11,1.3871164633583177e-11,1.0,1.3871164633583177e-11,0.999999999986129
baseline,case_125,0.5485652089118958,0.3779468536376953,0.9019787907600403,0.39413508772850037,0.5630328673946571,1.3262599907193362e-09,1.3262599907193362e-09,1.0,1.3262599907193362e-09,0.99999999867374
joint,case_125,0.02822628989815712,0.014315176755189896,0.6150842905044556,0.01444457657635212,0.9765161022160437,1.3262599907193362e-09,1.3262599907193362e-09,1.0,1.3262599907193362e-09,0.99999999867374
baseline,case_126,0.5353803038597107,0.3655422031879425,0.7414990663528442,0.4189283549785614,0.43502508459617545,1.964636509033113e-10,1.964636509033113e-10,1.0,1.964636509033113e-10,0.9999999998035363
joint,case_126,0.31090742349624634,0.1840677261352539,0.5564308166503906,0.21572113037109375,0.6123127587863365,1.964636509033113e-10,1.964636509033113e-10,1.0,1.964636509033113e-10,0.9999999998035363
baseline,case_127,0.6759125590324402,0.5104742646217346,0.8939515352249146,0.5433797240257263,0.3921597925583003,3.355704603080767e-09,3.355704603080767e-09,1.0,3.355704603080767e-09,0.9999999966442953
joint,case_127,0.2748758792877197,0.1593368649482727,0.9040329456329346,0.16207830607891083,0.8207163703030705,1.0235414737991277e-09,1.0235414737991277e-09,1.472754029840928e-09,3.355704603080767e-09,1.2785234856425387
baseline,case_128,0.5692502856254578,0.3978685140609741,0.6047118902206421,0.537717342376709,0.11078762959140896,3.0622900049070978e-12,3.0622900049070978e-12,1.0,3.0622900049070978e-12,0.9999999999969377
joint,case_128,0.5137993693351746,0.345713347196579,0.6456078886985779,0.4266863167285919,0.339093718996828,3.0619244119345357e-12,3.0619244119345357e-12,2.5641025303002607e-08,3.0622900049070978e-12,0.9998805706853102
baseline,case_129,0.6151840090751648,0.4442352056503296,0.7655408978462219,0.5141932964324951,0.3283268074165465,5.236191254892608e-13,5.236191254892608e-13,1.0,5.236191254892608e-13,0.9999999999994764
joint,case_129,0.5156760811805725,0.3474147915840149,0.818530797958374,0.3764064908027649,0.5401437669296001,5.236191254892608e-13,5.236191254892608e-13,1.0,5.236191254892608e-13,0.9999999999994764
baseline,case_130,0.6248648762702942,0.45440250635147095,0.888706386089325,0.48182064294815063,0.4578404546518635,7.227041773187615e-13,7.227041773187615e-13,1.0,7.227041773187615e-13,0.9999999999992772
joint,case_130,0.21763800084590912,0.12210650742053986,0.89969402551651,0.12379175424575806,0.8624068266891052,7.227041773187615e-13,7.227041773187615e-13,1.0,7.227041773187615e-13,0.9999999999992772
